14.875	2.558	3.614
29.750	2.558	3.614
44.625	2.558	3.614
59.500	2.543	3.614
74.375	2.543	3.614
89.250	2.543	3.614
104.125	2.536	3.614
119.000	2.529	3.614
133.875	2.529	3.614
148.750	2.522	3.614
163.625	2.522	3.614
178.500	2.509	3.614
193.375	2.509	3.614
208.250	2.502	3.614
223.125	2.502	3.614
238.000	2.502	3.614
252.875	2.495	3.614
267.750	2.495	3.614
282.625	2.502	3.614
297.500	2.502	3.614
312.375	2.502	3.614
327.250	2.509	3.614
342.125	2.509	3.614
357.000	2.516	3.614
371.875	2.516	3.616
386.750	2.522	3.616
401.625	2.522	3.616
416.500	2.522	3.616
431.375	2.529	3.616
446.250	2.529	3.614
461.125	2.529	3.614
476.000	2.536	3.614
490.875	2.536	3.614
505.750	2.536	3.614
520.625	2.536	3.614
535.500	2.537	3.614
550.375	2.537	3.614
565.250	2.530	3.614
580.125	2.530	3.614
595.000	2.523	3.614
609.875	2.522	3.612
624.750	2.522	3.612
639.625	2.522	3.612
654.500	2.522	3.612
669.375	2.522	3.610
684.250	2.509	3.610
699.125	2.509	3.608
714.000	2.509	3.608
728.875	2.516	3.606
743.750	2.515	3.606
758.625	2.515	3.604
773.500	2.515	3.604
788.375	2.514	3.602
803.250	2.521	3.602
818.125	2.520	3.600
833.000	2.520	3.598
847.875	2.520	3.598
862.750	2.526	3.596
877.625	2.525	3.594
892.500	2.524	3.594
907.375	2.524	3.592
922.250	2.523	3.590
937.125	2.522	3.590
952.000	2.521	3.588
966.875	2.520	3.586
981.750	2.519	3.586
996.625	2.525	3.584
1011.500	2.524	3.582
1026.375	2.523	3.580
1041.250	2.514	3.578
1056.125	2.513	3.576
1071.000	2.512	3.574
1085.875	2.518	3.572
1100.750	2.510	3.570
1115.625	2.509	3.568
1130.500	2.508	3.566
1145.375	2.507	3.564
1160.250	2.514	3.560
1175.125	2.506	3.558
1190.000	2.512	3.556
1204.875	2.519	3.554
1219.750	2.519	3.554
1234.625	2.519	3.552
1249.500	2.526	3.550
1264.375	2.526	3.550
1279.250	2.533	3.550
1294.125	2.540	3.550
1309.000	2.540	3.550
1323.875	2.548	3.550
1338.750	2.548	3.552
1353.625	2.556	3.552
1368.500	2.549	3.554
1383.375	2.549	3.556
1398.250	2.557	3.558
1413.125	2.557	3.560
1428.000	2.557	3.562
1442.875	2.557	3.564
1457.750	2.557	3.566
1472.625	2.557	3.568
1487.500	2.549	3.568
1502.375	2.557	3.568
1517.250	2.549	3.568
1532.125	2.549	3.566
1547.000	2.548	3.564
1561.875	2.547	3.562
1576.750	2.547	3.558
1591.625	2.546	3.554
